,Choice number,Smaller sooner amount ($),Smaller sooner delay (days),Larger later amount ($),Larger later delay (days),keq,Unnamed: 6,Unnamed: 7,Unnamed: 8,gpt_questions,gpt_raw_answers,SS or LL,binary_answer
0,1,34,29,68,60,0.5,,,,Would you rather have $34 in 29 days or $68 in 60 days? Answer without explanation.,$68 in 60 days.,LL,1
1,2,16,14,28,29,0.166666667,,,,Would you rather have $16 in 14 days or $28 in 29 days? Answer without explanation.,$28 in 29 days.,LL,1
2,3,58,0,116,7,0.142857143,,,,Would you rather have $58 now or $116 in 7 days? Answer without explanation.,$116 in 7 days.,LL,1
3,4,36,0,63,7,0.107142857,,,,Would you rather have $36 now or $63 in 7 days? Answer without explanation.,$63 in 7 days.,LL,1
4,5,65,29,114,60,0.082491582,,,,Would you rather have $65 in 29 days or $114 in 60 days? Answer without explanation.,$114 in 60 days.,LL,1
5,6,57,0,86,7,0.072681704,,,"
",Would you rather have $57 now or $86 in 7 days? Answer without explanation.,$86 in 7 days.,LL,1
6,7,62,0,124,14,0.071428571,,,,Would you rather have $62 now or $124 in 14 days? Answer without explanation.,$124 in 14 days.,LL,1
7,8,29,14,44,29,0.066666667,,,,Would you rather have $29 in 14 days or $44 in 29 days? Answer without explanation.,$44 in 29 days.,LL,1
8,9,28,0,49,14,0.053571429,,,,Would you rather have $28 now or $49 in 14 days? Answer without explanation.,$49 in 14 days.,LL,1
9,10,72,0,97,7,0.049603175,,,,Would you rather have $72 now or $97 in 7 days? Answer without explanation.,$97 in 7 days.,LL,1
10,11,50,14,68,29,0.036144578,,,,Would you rather have $50 in 14 days or $68 in 29 days? Answer without explanation.,$68 in 29 days.,LL,1
11,12,20,0,30,14,0.035714286,,,,Would you rather have $20 now or $30 in 14 days? Answer without explanation.,$30 in 14 days.,LL,1
12,13,29,0,36,7,0.034482759,,,,Would you rather have $29 now or $36 in 7 days? Answer without explanation.,$36 in 7 days.,LL,1
13,14,79,0,158,29,0.034482759,,,,Would you rather have $79 now or $158 in 29 days? Answer without explanation.,$158 in 29 days.,LL,1
14,15,33,29,50,60,0.032075472,,,,Would you rather have $33 in 29 days or $50 in 60 days? Answer without explanation.,$50 in 60 days.,LL,1
15,16,39,14,78,60,0.03125,,,,Would you rather have $39 in 14 days or $78 in 60 days? Answer without explanation.,$78 in 60 days.,LL,1
16,17,76,29,152,90,0.03125,,,,Would you rather have $76 in 29 days or $152 in 90 days? Answer without explanation.,$152 in 90 days.,LL,1
17,18,34,0,41,7,0.029411765,,,,Would you rather have $34 now or $41 in 7 days? Answer without explanation.,$41 in 7 days.,LL,1
18,19,53,0,93,29,0.026024723,,,,Would you rather have $53 now or $93 in 29 days? Answer without explanation.,$93 in 29 days.,LL,1
19,20,42,0,57,14,0.025510204,,,,Would you rather have $42 now or $57 in 14 days? Answer without explanation.,$57 in 14 days.,LL,1
20,21,83,14,104,29,0.022082019,,,,Would you rather have $83 in 14 days or $104 in 29 days? Answer without explanation.,$104 in 29 days.,LL,1
21,22,80,14,140,60,0.021126761,,,,Would you rather have $80 in 14 days or $140 in 60 days? Answer without explanation.,$140 in 60 days.,LL,1
22,23,69,0,79,7,0.020703934,,,,Would you rather have $69 now or $79 in 7 days? Answer without explanation.,$79 in 7 days.,LL,1
23,24,80,29,140,90,0.01910828,,,,Would you rather have $80 in 29 days or $140 in 90 days? Answer without explanation.,$140 in 90 days.,LL,1
24,25,59,0,74,14,0.018159806,,,,Would you rather have $59 now or $74 in 14 days? Answer without explanation.,$74 in 14 days.,LL,1
25,26,40,0,60,29,0.017241379,,,,Would you rather have $40 now or $60 in 29 days? Answer without explanation.,$60 in 29 days.,LL,1
26,27,53,14,64,29,0.017160686,,,,Would you rather have $53 in 14 days or $64 in 29 days? Answer without explanation.,$53 in 14 days.,SS,0
27,28,20,0,40,60,0.016666667,,,,Would you rather have $20 now or $40 in 60 days? Answer without explanation.,$40 in 60 days.,LL,1
